group,label,tfidf_params,logreg_params,n_iter,converged,dev_f1_target_1,heldout_f1_target_1,heldout_gap_vs_reference,within_tolerance
single_factor,default (sklearn max_iter=100),{},{'random_state': 3102},15,True,0.7388,0.7492,-0.0082,False
single_factor,max_iter=1000  <- shipped baseline,{},"{'random_state': 3102, 'max_iter': 1000}",15,True,0.7388,0.7492,-0.0082,False
single_factor,C=10,{},"{'random_state': 3102, 'max_iter': 1000, 'C': 10}",15,True,0.7456,0.7623,0.0049,False
single_factor,sublinear_tf=True,{'sublinear_tf': True},"{'random_state': 3102, 'max_iter': 1000}",18,True,0.7392,0.7518,-0.0056,False
single_factor,min_df=2,{'min_df': 2},"{'random_state': 3102, 'max_iter': 1000}",14,True,0.7435,0.7552,-0.0022,False
single_factor,"ngram_range=(1,2)","{'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000}",19,True,0.7287,0.727,-0.0304,False
grid,"min_df=2,sublinear_tf=True,ngram=(1, 1),C=1","{'min_df': 2, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",13,True,0.7438,0.7597,0.0023,False
grid,"min_df=2,sublinear_tf=True,ngram=(1, 1),C=2","{'min_df': 2, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",14,True,0.7584,0.768,0.0106,False
grid,"min_df=2,sublinear_tf=True,ngram=(1, 1),C=4","{'min_df': 2, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",15,True,0.7591,0.7657,0.0082,False
grid,"min_df=2,sublinear_tf=True,ngram=(1, 1),C=10","{'min_df': 2, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",26,True,0.7478,0.7664,0.009,False
grid,"min_df=2,sublinear_tf=True,ngram=(1, 2),C=1","{'min_df': 2, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",25,True,0.7381,0.7445,-0.0129,False
grid,"min_df=2,sublinear_tf=True,ngram=(1, 2),C=2","{'min_df': 2, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",27,True,0.744,0.7582,0.0008,True
grid,"min_df=2,sublinear_tf=True,ngram=(1, 2),C=4","{'min_df': 2, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",39,True,0.75,0.7554,-0.002,False
grid,"min_df=2,sublinear_tf=True,ngram=(1, 2),C=10","{'min_df': 2, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",44,True,0.7566,0.757,-0.0005,True
grid,"min_df=2,sublinear_tf=False,ngram=(1, 1),C=1","{'min_df': 2, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",14,True,0.7435,0.7552,-0.0022,False
grid,"min_df=2,sublinear_tf=False,ngram=(1, 1),C=2","{'min_df': 2, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",14,True,0.7545,0.7666,0.0092,False
grid,"min_df=2,sublinear_tf=False,ngram=(1, 1),C=4","{'min_df': 2, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",19,True,0.7595,0.7621,0.0046,False
grid,"min_df=2,sublinear_tf=False,ngram=(1, 1),C=10","{'min_df': 2, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",19,True,0.7476,0.767,0.0096,False
grid,"min_df=2,sublinear_tf=False,ngram=(1, 2),C=1","{'min_df': 2, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",28,True,0.7338,0.7429,-0.0146,False
grid,"min_df=2,sublinear_tf=False,ngram=(1, 2),C=2","{'min_df': 2, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",22,True,0.7483,0.7554,-0.0021,False
grid,"min_df=2,sublinear_tf=False,ngram=(1, 2),C=4","{'min_df': 2, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",28,True,0.7524,0.7553,-0.0022,False
grid,"min_df=2,sublinear_tf=False,ngram=(1, 2),C=10","{'min_df': 2, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",32,True,0.753,0.7528,-0.0046,False
grid,"min_df=3,sublinear_tf=True,ngram=(1, 1),C=1","{'min_df': 3, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",15,True,0.7436,0.7599,0.0025,False
grid,"min_df=3,sublinear_tf=True,ngram=(1, 1),C=2","{'min_df': 3, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",15,True,0.75,0.7612,0.0038,False
grid,"min_df=3,sublinear_tf=True,ngram=(1, 1),C=4","{'min_df': 3, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",15,True,0.7427,0.7664,0.009,False
grid,"min_df=3,sublinear_tf=True,ngram=(1, 1),C=10","{'min_df': 3, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",22,True,0.7283,0.7559,-0.0015,False
grid,"min_df=3,sublinear_tf=True,ngram=(1, 2),C=1","{'min_df': 3, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",19,True,0.7412,0.751,-0.0064,False
grid,"min_df=3,sublinear_tf=True,ngram=(1, 2),C=2","{'min_df': 3, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",11,True,0.7418,0.7557,-0.0017,False
grid,"min_df=3,sublinear_tf=True,ngram=(1, 2),C=4","{'min_df': 3, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",15,True,0.7469,0.7582,0.0008,True
